Country,Total,Print,Digital,Other
Belgium,18541,88.0,12.0,..
Belize,42,..,..,..
Brazil,21668,..,..,..
Canada,14716,..,..,..
Chile,7025,..,..,..
China,12880,..,..,..
Colombia,25019,40.9,59.1,…
Costa Rica,2158,62.7,37.3,…
Croatia,7875,86.9,0.0,13.1
Cuba,1679,96.1,3.9,…
Cyprus,30,..,..,..
Czech Republic,16676,..,..,..
Estonia,4785,69.2,30.8,…
Finland,25418,40.8,59.0,0.2
France,82313,..,..,..
Ghana,1411,99.9,0.1,…
Greece,16467,98.1,1.7,0.1
Hungary,17250,..,..,..
Ireland,1602,..,..,..
Italy,60058,..,..,..
Kenya,2105,..,..,..
Lithuania,4838,..,..,..
Maldives,62,..,..,..
Malta,510,..,..,..
Mauritius,2268,..,..,..
Nepal,3612,..,..,..
New Zealand,12158,66.5,33.4,0.1
Panama,491,..,..,..
Poland,55964,64.9,35.1,…
Portugal,17315,..,..,..
Republic of Korea,90620,76.0,24.0,..
Serbia,11628,99.3,0.7,..
Slovakia,6043,..,..,..
Slovenia,7375,90.2,9.8,..
Spain,67884,..,..,..
Sweden,20140,..,..,..
Thailand,9153,91.4,8.6,..
Turkey,71074,..,..,..
United Kingdom,210628,38.2,61.8,..
Viet Nam,22720,..,..,..