country_award,country_wipo
Albania,Albania
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Bulgaria,Bulgaria
Cameroon,Cameroon
Canada,Canada
Chile,Chile
China,China
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Denmark,Denmark
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
Estonia,Estonia
Finland,Finland
France,France
Georgia,Georgia
Germany,Germany
Greece,Greece
Guatemala,Guatemala
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran (Islamic Republic of)
Ireland,Ireland
Israel,Israel
Italy,Italy
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kyrgyzstan,Kyrgyzstan
Latvia,Latvia
Lebanon,Lebanon
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macedonia,North Macedonia (Republic of)
Malaysia,Malaysia
Malta,Malta
Mexico,Mexico
Moldova,Moldova (Republic of)
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Russia,Russian Federation
Saudi Arabia,Saudi Arabia
Serbia,Serbia
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Sweden,Sweden
Switzerland,Switzerland
Tajikistan,Tajikistan
Tanzania,Tanzania (United Republic of)
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States of America
Uruguay,Uruguay
Venezuela,Venezuela (Bolivarian Republic of)
Zimbabwe,Zimbabwe
North Korea,Korea (Democratic People's Republic of)
South Korea,Korea (Republic of)
Laos,Lao People's Democratic Republic
Czechia,Czech Republic
Macau (China),China
Vietnam,Viet Nam
Chinese Taipei,China
Taiwan,China
Hong Kong,China
Palestine,Israel
Puerto Rico,United States of America